Game ,Creator Name,Description,Created In,Release Date,Last Update,Age Rating,Tags,Players Now,ALL Time Peak
Bed Wars,theboydilly, Teams of Three Destroy Opponent's Beds Protect Your Bed Upgrade Your Base With Diamonds,UEFN,"Aug 20, 2023","June 6, 2024",Teen / 7,"tycoon, base, pvp, trios, ","8,528","66,058"
1v1 Build Fights! [4.6.4],raider464, Simplistic 1v1 Map Always Updated Fully AutomaticFind Opponents through matchmaking!,UEFN,"Nov 3, 2020","May 25, 2024",Teen / 12,"1v1, competitive, practice, ","6,312","32,829"
SUPER RED VS BLUE ,typicalgamer, New ALL Chapter 5 Season 2 Weapons! Most Fun EVER Amazing Super Powers Super Vault and Supply Drops 10 Gold Coins per Elimination Earn Points to Rank Up to Unreal Complete Achievements for Rewards Frequent Updates with all the new content! Eliminations and Ranks Save,UEFN,"Sep 27, 2023","June 8, 2024",Teen / 12,,"8,422","80,589"
LEGO Fortnite,epic,"Explore vast, open worlds where the magic of LEGO building and Fortnite collide. Find the ultimate survival crafting LEGO adventure in Fortnite!",LEGO,"Aug 11, 2022","August 11, 2022",Everyone 10+ / 7,"survival, co-op, open world, sandbox, ","41,467","2,447,763"
BHE 1V1 BUILD FIGHTS   ,bhe,FFA Build Fights 1v1 box fights fast action build reset built in UEFN,UEFN,"Aug 14, 2019","May 24, 2024",Teen / 12,"1v1, practice, boxfight, ","6,133","59,144"
< RASF,rsaf,  SURVIVAL OF THE BEST,Creative 1.0,"May 11, 2023","May 29, 2024",Teen / 12,"zonewars, battle, arena, competitive, ","4,067","8,850"
Festival Main Stage,epic,"Play in a band with friends or perform solo on stage with hit music by your favorite artists in Fortnite Festival! On the Main Stage, play a featured rotation of Jam Tracks. Compete against friends for the best performance or team up to climb the leaderboards. The festival is just beginning with more Jam Tracks, Music Icons, concerts, and stages coming soon. Take your stage in Fortnite Festival!",Unknown,"Sep 12, 2022","September 12, 2022",Teen / 12,"music, party game, ","11,024","847,466"
Unrealistic Driving Island,uhafa77, 4x4 km Open world map CH5 S3 weapons and vehicles FFA Collect items scattered around the island Finding hidden Octane scattered around. Unlimited fuel and boost. Enjoy driving with friends.,UEFN,"Apr 28, 2024","May 26, 2024",Teen / 12,"open world, race, driver simulator, free for all, ","2,058","48,414"
 RED VS BLUE  RUMBLE,rvb, New All Ch5 Weapons Added ENDLESS TEAM DEATHMATCH COMBAT POWERUPS AND SECRETS  Rank up from BRONZE to UNREAL 50 Gold Coins per Elimination OP Vault Eliminations and Ranks Save,UEFN,"Mar 6, 2021","June 7, 2024",Teen / 12,"team deathmatch, capture the flag, base, action, ","5,250","26,756"
LEGO Fortnite,epic,"Explore vast, open worlds where the magic of LEGO building and Fortnite collide. Find the ultimate survival crafting LEGO adventure in Fortnite!",LEGO,"Aug 11, 2022","August 11, 2022",Everyone 10+ / 7,"survival, co-op, open world, sandbox, ","37,024","2,447,763"
ONE SHOT GUN GAME  AIM,sneznyj,PVP/PVEQUESTSSECRETSINFINITE WEAPONSENDLESS ROUNDSINFINITE TIMEENDLESS FUNTRAIN YOUR AIMFIGHT THE BOTSBECOME THE BEST AMONG 12 PLAYERS,UEFN,"May 3, 2024","May 3, 2024",Teen / 12,"gun game, one shot, pvp, training, ","2,107","9,222"
OnlyUp Fortnite! ,army,"OnlyUp Fortnite, with an Altitude Meter and Timer! If you fall, you restart from the beginning... Don't fall and reach the top by passing every season of Fortnite Chapter 1! ",UEFN,"Jun 15, 2023","May 25, 2024",Everyone / 3,"deathrun, just for fun, parkour, escape, ","5,429","113,933"
Ranked Battle Royale,epic,"Just like classic Battle Royale, with a little more to play for!Battle it out against other players of similar rank. Show off your skills, complete challenges for rewards, and climb the ranks.",Unknown,"Apr 11, 2023","April 11, 2023",Teen / 12,,"160,456","1,440,170"
Piece Control 2v2 ,bullseye, Leaderboard Intense Boxfight Piece Control Scenarios Career Leaderboard/ Arena Points Best practice in the gameGood for duosGreat 2v2 practice with your duoMade in UEFN / Creative 2.0,UEFN,"Jan 15, 2023","June 4, 2024",Teen / 12,"boxfight, practice, duo, 2v2, ","10,964","82,795"
Zero Build - Battle Royale,epic,"All battle, no building!Zero Build is all the action, loot, and progression of classic Battle Royale, without the Building! Players now have a recharging Overshield for added defense as they fight to be the last one standing.",Unknown,"Jun 30, 2022","June 30, 2022",Teen / 12,,"148,438","1,405,384"
 GO GOATED! Zone Wars  *NEW WEAPONS*,theboydilly, 4 Teams Battle  Classic Zone Wars Game Select Your Team Eliminations Save ,UEFN,"Jun 2, 2021","June 5, 2024",Teen / 7,"practice, pvp, zonewars, ","23,342","111,777"
